county,date,labor.force,employed,unemployment,unemployment.rate
Yuba County,1993-01-01,21700,17100,4700,21.7
Alameda County,1994-01-01,681500,635300,46300,6.8
Alpine County,1994-01-01,710,670,40,5.6
Amador County,1994-01-01,12530,11210,1320,10.5
Butte County,1994-01-01,79800,69500,10300,12.9
Calaveras County,1994-01-01,14770,12840,1930,13.1
Colusa County,1994-01-01,8010,5490,2520,31.5
Contra Costa County,1994-01-01,452100,421900,30100,6.7
Del Norte County,1994-01-01,10100,8780,1320,13.1
El Dorado County,1994-01-01,70800,64700,6100,8.6
Fresno County,1994-01-01,359700,299100,60600,16.8
Glenn County,1994-01-01,11480,9290,2200,19.2
Humboldt County,1994-01-01,59500,53100,6400,10.8
Imperial County,1994-01-01,57200,41900,15300,26.7
Inyo County,1994-01-01,7050,6130,920,13
